uid	city	state
1267	State College	PA
1268	Staten Island	NY
1269	Statesville	NC
1270	Staunton	VA
1271	Steamboat Springs	CO
1272	Sterling Heights	MI
1273	Stevens Point	WI
1274	Stewartsville	VA
1275	Stlouis	IL
1276	Stlouis	MO
1277	Stockton	CA
1278	Stone Creek	OH
1279	Stone Mountain	GA
1280	Stonewall	TX
1281	Stonewood	WV
1282	Stratton	CO
1283	Streetsboro	OH
1284	Strongsville	OH
1285	Sugar Land	TX
1286	Summerdale	AL
1287	Summit	NJ
1288	Sumner	IL
1289	Sunman	IN
1290	Sunnyvale	CA
1291	Surprise	AZ
1292	Sussex	NJ
1293	Swainsboro	GA
1294	Syracuse	NY
1295	Tacoma	WA
1296	Tallahassee	FL
1297	Tampa	FL
1298	Temecula	CA
1299	Tempe	AZ
1300	Terrell	TX
1301	Teterboro	NJ
1302	Texas City	TX
1303	The Bronx	NY
1304	The Forks	ME
1305	Thornton	CO
1306	Thornville	OH
1307	Thousand Oaks	CA
1308	Tigard	OR
1309	Tipton	KS
1310	Titonka	IA
1311	Toledo	OH
1312	Tolono	IL
1313	Tomball	TX
1314	Topeka	KS
1315	Torrance	CA
1316	Trementina	NM
1317	Tremont	PA
1318	Trenton	NE
1319	Trenton	NC
1320	Trenton	TX
1321	Trimble	MO
1322	Trout Lake	WA
1323	Truman	MN
1324	Tucker	GA
1325	Tucson	AZ
1326	Tukwila	WA
1327	Tulsa	OK
1328	Turtle Creek	PA
1329	Tuscaloosa	AL
1330	Tustin	MI
1331	Tyler	TX
1332	Ukiah	CA
1333	Ulysses	KS
1334	Union City	NJ
1335	Union Grove	NC
1336	Union	KY
1337	University Place	WA
1338	Urbandale	IA
1339	Utica	NY
1340	Vacaville	CA
1341	Vader	WA
1342	Valdosta	GA
1343	Vallejo	CA
1344	Van Meter	IA
1345	Van Nuys	CA
1346	Vancouver	WA
1347	Vandalia	IL
1348	Venice	FL
1349	Ventura	CA
1350	Viburnum	MO
1351	Victoria	MN
1352	Victoria	TX
1353	Victorville	CA
1354	Vidalia	LA
1355	Vincennes	IN
1356	Vineland	NJ
1357	Virginia Beach	VA
1358	Virginia	MN
1359	Visalia	CA
1360	Vista	CA
1361	Wabeno	WI
1362	Waco	TX
1363	Wadena	MN
1364	Wahpeton	MN
1365	Waldorf	MD
1366	Walla Walla	WA
1367	Wallingford	CT
1368	Wallis	TX
1369	Walnut Creek	CA
1370	Walpole	MA
1371	Waltham	MA
1372	Waltonville	IL
1373	Warminster	PA
1374	Warren	MA
1375	Warren	MI
1376	Warren	OH
1377	Warrensburg	IL
1378	Warwick	RI
1379	Washington	DC
1380	Washington	MD
1381	Washington	UT
1382	Washington	VA
1383	Washington	DC
1384	Waterbury	CT
1385	Waubay	SD
1386	Waukegan	IL
1387	Waukesha	WI
1388	Waumandee	WI
1389	Wausau	WI
1390	Wayland	IA
1391	Wayne	NJ
1392	Wayne	PA
1393	Weehawken	NJ
1394	Wenatchee	WA
1395	Weslaco	TX
1396	West Abbeville	SC
1397	West Allis	WI
1398	West Bloomfield	MI
1399	West Covina	CA
1400	West Jordan	UT
1401	West Lebanon	NH
1402	West Nyack	NY
1403	West Palm Beach	FL
1404	West Point	GA
1405	West Roxbury	MA
1406	West Sacramento	CA
1407	West St Paul	MN
1408	West Valley City	UT
1409	Westborough	MA
1410	Westbrook	ME
1411	Westbury	NY
1412	Westerville	OH
1413	Westlake	OH
1414	Westland	MI
1415	Westminster	CO
1416	Westville	FL
1417	Wheaton	IL
1418	Wheeling	IL
1419	Wheeling	WV
1420	Whippany	NJ
1421	White Bluff	TN
1422	White Plains	NY
1423	Whitestone	NY
1424	Whitstran	WA
1425	Whittier	CA
1426	Wichita Falls	TX
1427	Wichita	AR
1428	Wichita	KS
1429	Williams	MN
1430	Williamstown	MO
1431	Willingboro	NJ
1432	Williston	ND
1433	Willmar	MN
1434	Wills Point	TX
1435	Wilmington	DE
1436	Wilmington	NC
1437	Wilmot	SD
1438	Wilsonville	OR
1439	Winchester	KY
1440	Winchester	MA
1441	Winchester	OH
1442	Winchester	VA
1443	Winder	GA
1444	Windsor	CT
1445	Winsted	CT
1446	Winston Salem	NC
1447	Winston–Salem	NC
1448	Winter Haven	FL
1449	Winter Park	FL
1450	Woburn	MA
1451	Wood Dale	IL
1452	Woodbridge	NJ
1453	Woodland	GA
1454	Woodland	ME
1455	Woodlawn	MD
1456	Woodmere	NY
1457	Woodstock	GA
1458	Woonsocket	RI
1459	Worcester	MA
1460	Worland	WY
1461	Worthington	OH
1462	Wyoming	MI
1463	Yakima	WA
1464	Yellow Pine	ID
1465	Yonkers	NY
1466	Yorba Linda	CA
1467	York	PA
1468	Yorktown Heights	NY
1469	Youngstown	OH
