	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
97	Provo	PRV	$ffffff	$800080	$800080	$800080	$ffffff	$800080	$ffffff	$ffffff	$ffffff	$800080	$ffffff	$800080	$ffffff	$800080	$800080	$dfdfdf	$ffffff	$800080	$800080	$ffffff	$800080	$ffffff	$800080	$800080	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	30	35	$681868
98	N.M. S.	NMS	$993366	$800000	$993366	$993366	$993366	$ffffff	$993366	$993366	$dfdfdf	$993366	$ffffff	$ffffff	$dfdfdf	$993366	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	10	1	$811B4E
99	South Bend	S.B	$ffd799	$000099	$000099	$000099	$ffd799	$ffcccc	$000099	$ffd799	$ffd799	$000099	$ffffff	$ffffff	$ffd799	$ffcccc	$000099	$ffd799	$ffd799	$000099	$ffffff	$ffd799	$ffffff	$ffffff	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	35	$E7BF81
100	Connecticut	CT.	$ffffff	$2f54a5	$2f54a5	$ffffff	$2f54a5	$2f54a5	$efefef	$dfdfdf	$ffffff	$2f54a5	$ffffff	$2f54a5	$ffffff	$ffffff	$dfdfdf	$efefef	$2f54a5	$ffffff	$2f54a5	$2f54a5	$2f54a5	$2f54a5	$2f54a5	$2f54a5	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	30	$183C8D
101	Mass.	MA.	$ff0000	$ffffff	$ff0000	$ffffff	$ff0000	$ff0000	$efefef	$dfdfdf	$dfdfdf	$ff0000	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	30	$E71818
102	Akron	AKR	$0000d0	$ffd766	$0000d0	$ffd766	$0000d0	$ffd766	$0000d0	$000099	$ffffff	$0000d0	$ffffff	$0000d0	$0000d0	$0000d0	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	45	$1818B8
103	Muncie S.	MUN	$000000	$800000	$000000	$000000	$800000	$ffffff	$800000	$800000	$000000	$800000	$ffffff	$800000	$000000	$ffffff	$dfdfdf	$efefef	$ffffff	$800000	$800000	$800000	$800000	$800000	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	42	21	$681818
104	Bowling G.	B.G	$ff0000	$ffffff	$ff0000	$ff0000	$ffffff	$ffffff	$efefef	$dfdfdf	$ff0000	$ffffff	$ffffff	$ffffff	$dfdfdf	$ffffff	$dfdfdf	$efefef	$ff0000	$ffffff	$ff0000	$ff0000	$ff0000	$ff0000	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	29	$E71818
105	Buffalo	BUF	$ffffff	$000066	$000066	$000066	$000000	$ffffff	$000000	$000000	$ffffff	$000066	$ffffff	$ffffff	$dfdfdf	$ffffff	$dfdfdf	$efefef	$000000	$ffffff	$000000	$000000	$000000	$000000	$000033	$000019	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	89	$18184E
106	C. Michigan	CMI	$c00000	$ffd799	$c00000	$ffd799	$c00000	$ffd799	$222222	$333333	$c00000	$ffd799	$ffffff	$c00000	$dfdfdf	$ffffff	$dfdfdf	$efefef	$000000	$c00000	$000000	$c00000	$000000	$000000	$333333	$222222	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	35	$A81818
107	E. Michigan	EMI	$999999	$00cc00	$00cc00	$00cc00	$00cc00	$00cc00	$efefef	$dfdfdf	$ffffff	$00cc00	$ffffff	$cccccc	$ffffff	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	39	32	$818181
108	Kent	KNT	$2f54a5	$ffd700	$2f54a5	$2f54a5	$ffd700	$ffd700	$2f54a5	$2f54a5	$2f54a5	$ffd700	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	19	$183C8D
109	Miami O.	MIO	$ffffff	$ffa800	$ffa800	$ffa800	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$ffa800	$ffffff	$ffffff	$dfdfdf	$ffa800	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	15	$E79018
110	N. Illinois	NIL	$000000	$660000	$660000	$660000	$ffffff	$660000	$ffffff	$ffffff	$000000	$660000	$000000	$000000	$202020	$202020	$333333	$222222	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	35	$4E1818
111	Ohio	OH.	$66cc66	$cccccc	$66cc66	$66cc66	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$66cc66	$ffffff	$66cc66	$66cc66	$66cc66	$dfdfdf	$efefef	$66cc66	$000000	$000000	$66cc66	$000000	$000000	$333333	$222222	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	16	$4EB44E
112	Toledo	TOL	$800080	$ffa800	$800080	$ffa800	$800080	$800080	$800080	$800080	$800080	$ffa800	$ffa800	$ffa800	$800080	$800080	$800080	$800080	$800080	$ffa800	$ffa800	$800080	$ffa800	$ffa800	$ffa800	$ffa800	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	29	$681868
113	W. Michigan	WMI	$ffd799	$c00000	$c00000	$c00000	$c00000	$c00000	$222222	$333333	$ffd799	$c00000	$ffffff	$ffffff	$c00000	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	41	35	$E7BF81
114	Co. Springs	CSP	$660066	$666666	$660066	$660066	$660066	$666666	$666666	$333333	$660066	$666666	$ffffff	$ffffff	$660066	$666666	$660066	$dfdfdf	$ffffff	$660066	$660066	$660066	$ffffff	$660066	$660066	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	14	67	$4E184E
115	Boise	BOI	$0099cc	$ffa800	$0099cc	$0099cc	$0099cc	$ffa800	$0099cc	$0099cc	$dfdfdf	$0099cc	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$efefef	$ffa800	$ffffff	$ffa800	$0099cc	$ffa800	$ffa800	$cc6600	$cc6600	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	35	$1881B4
116	Colorado S.	COS	$009900	$009900	$009900	$009900	$ffd799	$ffd799	$ffd799	$ffd799	$dfdfdf	$009900	$ffffff	$ffffff	$dfdfdf	$009900	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	15	67	$188118
117	Fresno	FRE	$ffffff	$800000	$800000	$800000	$ffffff	$ffffff	$800000	$dfdfdf	$800000	$ffffff	$ffffff	$ffffff	$800000	$800000	$800000	$dfdfdf	$999999	$ffffff	$999999	$999999	$999999	$999999	$666666	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	15	0	$681818
118	Hawaii	HI.	$33cc33	$33cc33	$33cc33	$33cc33	$33cc33	$ffffff	$33cc33	$33cc33	$dfdfdf	$33cc33	$ffffff	$ffffff	$dfdfdf	$33cc33	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	39	0	$1BB41B
119	Nevada	NV.	$0000cc	$0000cc	$0000cc	$ffffff	$0000cc	$0000cc	$0000cc	$0000cc	$0000cc	$0000cc	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	15	10	$1818B4
120	New Mexico	N.M	$666666	$cc9900	$cc9900	$cc9900	$ffffff	$cc9900	$ffffff	$ffffff	$dfdfdf	$cc9900	$ffffff	$ffffff	$dfdfdf	$cc9900	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	13	10	$4E4E4E
121	San Diego S.	SAN	$660000	$660000	$000000	$000000	$000000	$660000	$000000	$000000	$660000	$660000	$ffffff	$660000	$000000	$660000	$000000	$dfdfdf	$660000	$660000	$ffffff	$ffffff	$ffffff	$660000	$ffffff	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	16	0	$4E1818
122	San Jose	S.J	$99ccff	$ffd700	$99ccff	$99ccff	$99ccff	$ffd700	$99ccff	$99ccff	$dfdfdf	$99ccff	$ffffff	$ffffff	$dfdfdf	$99ccff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	24	0	$81B4E7
123	Las Vegas	L.V	$660000	$660000	$660000	$660000	$ffffff	$666666	$ffffff	$ffffff	$dfdfdf	$660000	$ffffff	$ffffff	$dfdfdf	$660000	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	5	0	$4E1818
124	Utah S.	UTS	$2f54a5	$666666	$2f54a5	$2f54a5	$2f54a5	$666666	$2f54a5	$2f54a5	$ffffff	$2f54a5	$ffffff	$2f54a5	$2f54a5	$999999	$2f54a5	$dfdfdf	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	35	30	$183C8D
125	Wyoming	WY.	$ffffff	$cc0000	$cc0000	$cc0000	$ffff00	$cc0000	$ffff00	$ffff00	$dfdfdf	$cc0000	$ffffff	$ffffff	$dfdfdf	$cc0000	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	17	71	$B41818
126	Arizona	AZ.	$d00000	$d00000	$d00000	$d00000	$0099cc	$ffffff	$0099cc	$0099cc	$0099cc	$d00000	$0099cc	$0099cc	$d00000	$d00000	$d00000	$d00000	$ffffff	$d00000	$ffffff	$d00000	$ffffff	$0099cc	$ffffff	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	4	0	$B81818
127	Arizona S.	AZS	$ffff00	$000000	$000000	$000000	$ffff00	$000000	$ffff00	$ffff00	$ffffff	$ff0000	$ffffff	$ffffff	$ff0000	$ffff00	$ffffff	$ffffff	$ffff00	$000000	$ff0000	$ff0000	$ffff00	$ff0000	$000000	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	4	0	$E7E718
128	California	CAL	$2f54a5	$2f54a5	$2f54a5	$2f54a5	$2f54a5	$ffd700	$2f54a5	$2f54a5	$000000	$2f54a5	$ffd700	$ffd700	$ffd700	$000000	$ffd700	$ffd700	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	20	0	$183C8D
129	Colorado	CO.	$ffff00	$000000	$000000	$000000	$000000	$ffffff	$000000	$000000	$999999	$000000	$999999	$999999	$999999	$999999	$999999	$999999	$ffffff	$000000	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	25	65	$E7E718
130	Oregon	OR.	$00cc00	$ffd799	$00cc00	$ffd799	$00cc00	$ffd799	$00cc00	$00cc00	$00cc00	$ffd799	$ffffff	$00cc00	$00cc00	$ffd799	$00cc00	$ffd799	$ffd799	$00c00	$ffd799	$000000	$ffd799	$ffd799	$dfdfdf	$ffd799	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	5	$18B418
131	Oregon S.	ORS	$000000	$800000	$000000	$000000	$000000	$800000	$000000	$000000	$000000	$800000	$ffffff	$ffffff	$dfdfdf	$800000	$dfdfdf	$dfdfdf	$000000	$800000	$ffffff	$ffffff	$000000	$800000	$000000	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	5	$681818
132	Palo Alto	P.A	$ffffff	$d00000	$d00000	$d00000	$ffffff	$d00000	$ffffff	$ffffff	$dfdfdf	$d00000	$ffffff	$ffffff	$dfdfdf	$d00000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	20	0	$B81818
133	Los Angeles	L.A	$ffd799	$000033	$000033	$ffffff	$ffd799	$ffd799	$dfdfdf	$dfdfdf	$ffd799	$000033	$ffffff	$000033	$ffd799	$ffd799	$dfdfdf	$dfdfdf	$000033	$ffd799	$000033	$000000	$000033	$000033	$000033	$000033	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	16	0	$E7BF81
134	Cal. So.	CSO	$d00000	$ffff00	$d00000	$ffff00	$ffff00	$d00000	$ffff00	$d00000	$d00000	$ffff00	$ffffff	$d00000	$ffff00	$d00000	$d00000	$ffff00	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	16	0	$B81818
135	Utah	UT.	$000000	$ffffff	$000000	$000000	$000000	$ffffff	$000000	$000000	$ffffff	$000000	$ffffff	$ffffff	$ffffff	$000000	$dfdfdf	$dfdfdf	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	26	40	$E7E7E7
136	Washington	WA.	$ecdca8	$3f366a	$3f366a	$ecdca8	$ecdca8	$ecdca8	$3f366a	$ecdca8	$ecdca8	$3f366a	$ffffff	$3f366a	$3f366a	$3f366a	$3f366a	$3f366a	$ffffff	$3f366a	$ffffff	$3f366a	$ffffff	$3f366a	$ffffff	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	67	1	$D4C490
137	Wash. S.	WAS	$cccccc	$999900	$999900	$999900	$cccccc	$cccccc	$666600	$dfdfdf	$cccccc	$666600	$ffffff	$ffffff	$cccccc	$cccccc	$cccccc	$dfdfdf	$999900	$ffffff	$ffffff	$ffffff	$999900	$999900	$999900	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	20	40	$B4B4B4
138	Alabama	AL.	$660000	$ffffff	$660000	$660000	$ffffff	$ffffff	$ffffff	$ffffff	$660000	$ffffff	$ffffff	$ffffff	$ffffff	$660000	$dfdfdf	$dfdfdf	$c0c0c0	$660000	$660000	$660000	$c0c0c0	$660000	$c0c0c0	$c0c0c0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	3	$4E1818
139	Arkansas	AR.	$660066	$ffffff	$660066	$ffffff	$ffffff	$660066	$ffffff	$ffffff	$660066	$ffffff	$ffffff	$ffffff	$ffffff	$660066	$dfdfdf	$dfdfdf	$660066	$ffffff	$ffffff	$ffffff	$660066	$ffffff	$660066	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	10	$4E184E
140	Auburn	AUB	$ffffff	$0000cc	$0000cc	$0000cc	$ffffff	$ffd700	$ffffff	$ffffff	$ffffff	$0000cc	$ffffff	$ffffff	$ffffff	$ffd700	$ffffff	$ffffff	$ffffff	$0000cc	$ffd700	$0000cc	$ffffff	$ffd700	$ffffff	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	41	1	$1818B4
141	Florida	FL.	$ffff00	$000033	$000033	$ffff00	$ffffff	$ffff00	$000033	$dfdfdf	$ffff00	$000033	$ffffff	$000033	$000033	$ffff00	$000033	$dfdfdf	$ffff00	$000033	$ffffff	$000033	$ffffff	$ffff00	$000033	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	47	0	$E7E718
142	Georgia	GA.	$800000	$000000	$800000	$800000	$ffffff	$000000	$ffffff	$ffffff	$800000	$000000	$ffffff	$ffffff	$dfdfdf	$800000	$800000	$800000	$800000	$000000	$000000	$000000	$dfdfdf	$800000	$800000	$800000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	2	$681818
143	Kentucky	KY.	$003366	$ffffff	$003366	$ffffff	$ffffff	$003366	$dfdfdf	$dfdfdf	$ffffff	$003366	$ffffff	$ffffff	$ffffff	$003366	$dfdfdf	$dfdfdf	$003366	$ffffff	$003366	$ffffff	$003366	$ffffff	$003366	$003366	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	34	14	$181B4E
144	Louisiana S.	LAS	$ffd799	$9999cc	$ffffff	$9999cc	$ffd799	$9999cc	$ffd799	$9999cc	$ffd799	$9999cc	$9999cc	$ffd799	$ffd799	$9999cc	$9999cc	$ffd799	$ffffff	$9999cc	$9999cc	$ffffff	$ffffff	$9999cc	$9999cc	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	60	0	$E7BF81
145	Miss. S.	MSS	$c00000	$ffffff	$c00000	$ffffff	$ffffff	$c00000	$c00000	$dfdfdf	$ffffff	$c00000	$ffffff	$ffffff	$ffffff	$c00000	$dfdfdf	$dfdfdf	$ffffff	$c00000	$c00000	$ffffff	$ffffff	$c00000	$c00000	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	30	0	$A81818
146	Missouri	MO.	$999999	$ffff00	$999999	$ffff00	$999999	$ffff00	$999999	$666666	$999999	$ffff00	$ffffff	$ffff00	$999999	$ffff00	$999999	$ffff00	$ffff00	$999999	$ffffff	$ffffff	$ffff00	$999999	$dfdfdf	$ffffff	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	34	8	$818181
147	Mississippi	MS.	$0000cc	$cc9900	$0000cc	$ffffff	$ffffff	$ffffff	$0000cc	$ffffff	$0000cc	$cc9900	$ffffff	$ffffff	$ffffff	$cc9900	$0000cc	$dfdfdf	$0000cc	$cc9900	$0000cc	$ffffff	$ffffff	$0000cc	$0000cc	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	30	0	$1818B4
148	S. Carolina	S.C	$ffffff	$e00000	$e00000	$e00000	$ffffff	$000000	$ffffff	$ffffff	$e00000	$e00000	$ffffff	$ffffff	$dfdfdf	$e00000	$e00000	$dfdfdf	$e00000	$e00000	$e00000	$e00000	$ffffff	$e00000	$e00000	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	28	5	$C81818
149	Tennessee	TN.	$ffffff	$ff0000	$ff0000	$ff0000	$ffffff	$ff0000	$ff0000	$dfdfdf	$ffffff	$ff0000	$ffffff	$ff0000	$ffffff	$ff0000	$ff0000	$dfdfdf	$cccccc	$ff0000	$cccccc	$ff0000	$cccccc	$ff0000	$999999	$ff0000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	43	3	$E71818
150	Texas A.	TXA	$c00000	$ffffff	$c00000	$ffffff	$ffffff	$ffffff	$dfdfdf	$dfdfdf	$c00000	$ffffff	$ffffff	$c00000	$ffffff	$ffffff	$dfdfdf	$efefef	$c00000	$ffffff	$c00000	$000000	$c00000	$c00000	$c00000	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	41	0	$A81818
151	Nashville	NSH	$ffd700	$000000	$000000	$000000	$ffd700	$ffd700	$000000	$000000	$ffffff	$000000	$ffffff	$000000	$000000	$000000	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	2	$E7BF18
152	Appalachian	APP	$000000	$ffa800	$000000	$000000	$000000	$ffa800	$000000	$000000	$ffa800	$000000	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$efefef	$000000	$ffa800	$000000	$000000	$ffa800	$ffa800	$dfdfdf	$efefef	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	25	$E79018
153	Arkansas S.	ARS	$600000	$000000	$600000	$600000	$600000	$600000	$600000	$600000	$600000	$000000	$ffffff	$ffffff	$ffffff	$600000	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	10	$481818
154	C. Carolina	CCO	$000000	$00cc99	$00cc99	$000000	$00cc99	$00cc99	$00cc99	$00cc99	$000000	$00cc99	$ffffff	$ffffff	$000000	$000000	$000000	$dfdfdf	$000000	$00cc99	$00cc99	$000000	$000000	$000000	$00cc99	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	27	1	$18B481
155	Georgia So.	GSO	$0000cc	$ffffff	$0000cc	$0000cc	$999999	$999999	$dfdfdf	$efefef	$0000cc	$ffffff	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	48	1	$1818B4
156	Georgia S.	GAS	$000033	$ffffff	$000033	$000033	$000033	$000033	$000066	$000022	$000000	$ffffff	$ffffff	$0000ff	$000000	$000000	$ffffff	$ffffff	$000033	$ffffff	$000033	$000033	$ffffff	$ffffff	$000066	$000022	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	51	1	$18181B
157	Louisiana	LA.	$800000	$ffffff	$800000	$ffffff	$800000	$ffffff	$800000	$800000	$800000	$ffffff	$ffffff	$800000	$800000	$ffffff	$800000	$dfdfdf	$800000	$ffffff	$ffffff	$800000	$ffffff	$800000	$800000	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	54	0	$681818
158	Louisiana M.	LAM	$ffffff	$600050	$600050	$600050	$ffffff	$ffffff	$dfdfdf	$efefef	$dfdfdf	$600050	$ffffff	$ffffff	$dfdfdf	$ffffff	$dfdfdf	$dfdfdf	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	0	$481838
159	S. Alabama	SAL	$666699	$800000	$666699	$666699	$666699	$ffffff	$dfdfdf	$efefef	$ffffff	$666699	$ffffff	$ffffff	$666699	$ffffff	$dfdfdf	$efefef	$ffffff	$666699	$800000	$ffffff	$800000	$666699	$800000	$efefef	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	54	0	$4E4E81
160	Texas S.	TXS	$ffd799	$e00000	$e00000	$e00000	$ffd799	$ffd799	$ffd799	$ffd799	$ffffff	$ffd799	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	39	1	$E7BF81
161	Troy	TRO	$606060	$f00000	$f00000	$f00000	$f00000	$f00000	$f00000	$f00000	$dfdfdf	$f00000	$ffffff	$ffffff	$dfdfdf	$f00000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	39	1	$484848
162	Harrisonb'g	HBG	$0000d0	$ffff00	$000000	$0000d0	$0000d0	$ffff00	$0000d0	$0000d0	$ffffff	$ffff00	$ffffff	$0000d0	$dfdfdf	$0000d0	$dfdfdf	$efefef	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	21	1	$1818B8
163	Clarksville	CVL	$666666	$ffa800	$ffa800	$ffa800	$ffffff	$666666	$ffffff	$ffffff	$dfdfdf	$ffa800	$ffffff	$ffffff	$dfdfdf	$ffa800	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	23	0	$4E4E4E
